Timestamp start: 1778531971715
Timestamp end: 1778533052065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      323.9   193.7    93.8   150.7   168.7   303.5   361.1   392.2   414.3   439.9   473.1   526.6   734.5  2382.6  6215.2  26055.6    26095
read      411.4   578.4    93.8   146.9   162.1   291.8   364.8   412.1   451.9   504.1   582.2   793.1  3241.8  7089.2  9319.7  71135.2    71173
read      365.8   377.3    93.8   158.9   177.9   299.6   358.9   393.7   420.6   455.4   506.7   629.4  1910.4  4384.6  8098.5 109200.2   109276
read      282.6   152.4    93.8   158.3   177.6   266.8   303.0   323.5   339.2   357.8   381.3   421.0   578.8  2179.0  4293.1  13280.2    13150
read      422.9   576.8    93.8   143.9   158.9   291.6   363.1   407.8   445.0   495.1   581.4  1201.5  3093.6  6612.5  8816.4  61256.8    61250
read      298.4   263.9    93.8   142.1   156.4   257.0   314.7   346.0   368.6   395.0   430.1   501.4  1080.3  3542.5  7982.6  84330.4    84472
read      285.6   211.1    93.8   141.6   155.4   254.5   311.2   341.2   362.5   386.5   416.5   466.1   838.0  2928.9  7646.8  82097.6    82226
read      324.8   202.0    93.8   148.7   165.6   303.3   361.6   394.2   417.5   444.0   477.3   531.8   703.8  2729.4  7675.2  27700.8    27671
read      458.3   599.9    93.8   161.4   181.9   322.6   393.9   438.8   475.7   527.1   608.6  1387.8  3461.3  6915.5  8132.2  98664.2    98736
read      304.4   223.4    93.8   152.7   169.5   274.5   327.5   357.0   377.8   402.3   434.6   489.7   740.4  3426.1  6091.7 106242.0   106314
read      315.7   292.7    86.8   151.7   168.3   274.6   328.7   359.1   381.0   407.0   443.0   508.1  1106.6  3751.2  7708.2 104914.6   105027
read      291.6   226.9    86.8   146.7   161.7   260.5   314.4   343.8   365.1   389.3   419.9   468.0   720.9  3434.7  7256.8  97020.0    96867
read      284.2   192.5    86.8   144.6   159.1   257.4   311.7   341.2   362.1   385.9   415.8   463.5   719.1  3003.1  6166.2  89413.8    89493
read      295.4   149.2    93.8   141.4   154.7   276.3   334.0   365.7   389.1   417.2   454.6   512.1   675.8  1721.2  3288.0  50544.4    50538
read      316.3   187.4    93.8   151.6   170.2   297.8   349.8   378.3   398.4   422.2   452.4   500.1   709.8  2502.8  7252.8  22062.2    22083
read      322.7   209.2    93.8   143.1   157.7   290.6   353.3   390.8   418.8   453.3   500.0   585.4   937.8  2668.5  5209.0  48494.8    48618
read      333.7   388.6    86.8   147.0   162.9   269.4   326.2   358.3   381.8   410.1   451.8   552.3  1898.1  6054.9  8616.8  94377.0    94298
read      316.9   253.8    93.8   142.4   156.5   275.5   338.7   374.8   403.1   439.5   489.9   575.4  1010.8  3641.0  7375.0  63777.0    63579
read      317.1   224.5    93.8   142.1   156.2   276.5   342.8   383.5   415.3   455.2   507.3   595.0   915.7  2883.6  6919.9  64449.4    64573
read      346.8   288.5    86.8   146.6   162.2   281.1   350.4   397.2   438.2   497.6   584.4   740.5  1278.7  3587.8  7580.7  76989.0    77178
read      340.0   263.1    93.8   147.9   165.2   311.6   375.4   409.5   433.6   461.7   497.2   555.4   840.0  4045.2  7780.5  29847.8    29824
read      397.1   514.7    93.8   143.5   158.8   289.6   360.1   403.6   440.4   488.5   560.5   781.5  2980.4  5683.5  9099.6  64562.6    64495
read      307.9   156.5   101.3   151.7   169.7   292.7   341.9   369.1   388.7   411.0   439.3   484.8   628.0  1885.9  6293.5  20801.4    20917
read      420.1   588.7    86.8   149.8   167.2   292.0   355.2   391.5   419.7   457.4   523.9  1313.4  3452.8  6790.7 10048.8  85596.8    85651
read      316.2   218.1    86.8   142.3   157.3   278.4   344.4   383.8   413.7   451.2   500.9   586.4   888.9  2496.8  6287.7  61973.2    61935
read      306.6   211.1    93.8   143.8   159.1   282.7   341.0   373.9   398.5   427.4   464.8   524.6   677.3  2961.2  7742.3  50226.2    50216
read      351.9   325.3    86.8   146.2   162.4   287.5   358.7   404.9   445.9   499.1   573.7   706.2  1414.0  4819.4  7862.7  72179.0    72251
read      389.0   508.3    86.8   147.4   163.6   288.5   360.0   406.2   446.3   500.0   578.5   744.6  2802.5  6653.2  8953.8  71814.8    71798
read      317.5   201.8   101.3   159.9   179.5   296.3   346.1   373.2   392.4   414.6   443.5   491.5   747.5  2714.0  7799.4  19777.8    19701
read      330.8   214.6    93.8   152.6   172.1   309.2   366.7   397.0   418.7   443.1   473.7   528.3   793.3  2892.6  7451.0  24916.0    24952
read      452.3   667.8    93.8   149.7   166.4   294.6   359.9   396.9   426.3   466.9   550.4  1590.1  3659.8  7438.2  8667.5  81690.2    81838
read      328.9   176.1    93.8   154.0   172.0   309.1   367.9   400.3   423.4   449.7   482.8   536.0   702.1  2326.5  5819.7  26735.0    26648
read      339.2   286.8   101.3   156.9   177.0   312.5   370.1   400.9   422.7   447.4   478.9   533.3   833.3  3481.9  9877.4  24792.6    24837
