Memcached with T =1 thread, C=1 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      863.3   368.5   202.4   620.6   652.6   756.9   798.4   834.0   867.9  1275.4  1411.8  1502.7  1631.0  7075.1  7968.7  76201.8    95000  1778110410043  1778110412243
read      902.9   388.8   127.6   657.9   694.2   794.5   840.2   865.2   903.3  1278.5  1471.1  1577.5  1722.4  7169.9  9350.0  73161.5   105000  1778110413746  1778110415947
read      884.9   381.6   187.4   645.3   670.2   777.0   821.7   856.3   891.7  1293.0  1437.5  1541.8  1698.2  7124.5  8884.7  74631.7   115000  1778110417451  1778110419651
read      819.7   355.4   148.8   557.9   590.8   708.6   766.9   815.2  1028.3  1223.4  1317.8  1411.1  1577.4  6509.8  8068.9  80245.6   125000  1778110421155  1778110423353
run 2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      237.0    81.9   101.3   159.1   170.5   225.3   249.6   263.9   273.7   288.3   308.9   350.6   432.3  1075.3  2994.5   4964.0     5000  1778110448889  1778110451154
read      272.2   127.1    93.8   156.9   174.0   261.6   298.2   319.2   335.1   353.0   374.4   408.1   481.2  1096.3  4999.2  15128.0    15000  1778110452659  1778110454906
read      308.0   107.1    86.8   152.5   172.5   303.3   357.5   383.5   400.6   421.7   446.8   483.4   555.0   677.7  1960.4  25064.0    25000  1778110456411  1778110458610
read      300.2   114.4    80.4   142.4   160.7   287.1   352.5   383.7   403.7   427.8   456.4   496.9   574.3   676.4  1922.7  35128.0    35000  1778110460114  1778110462316
read      311.8   129.0    80.4   143.0   161.6   293.7   369.2   403.9   427.9   454.6   486.5   532.3   624.4   753.2  2038.7  44883.0    45000  1778110463820  1778110466021
read      318.3   135.5    80.4   140.8   160.2   297.4   374.1   413.6   440.2   469.2   505.3   557.1   660.5   807.8  1286.1  54874.0    55000  1778110467524  1778110469725
read      341.2   156.2    74.4   149.0   170.9   318.6   394.7   436.5   465.3   498.0   538.9   594.7   718.9  1086.4  3241.3  64823.0    65000  1778110471230  1778110473434
read      515.7   288.6    80.4   184.8   222.7   473.9   593.3   652.0   692.2   738.8   805.4  1038.2  1406.9  1656.9  7372.6  74835.0    75000  1778110474939  1778110477138
read      903.7   396.6   137.8   646.6   680.1   794.9   845.3   872.1   920.4  1266.9  1463.4  1579.1  1731.6  7193.8  8022.8  72978.0    85000  1778110478641  1778110480839
read      854.9   380.9   137.8   602.1   637.8   746.4   794.7   834.0   878.5  1261.7  1389.4  1482.8  1616.5  7049.2  9540.8  76887.0    95000  1778110482343  1778110484543
read      882.1   391.4   101.3   635.4   663.5   775.2   820.2   855.5   891.8  1287.6  1435.8  1543.1  1689.7  7106.8 13953.7  74693.0   105000  1778110486047  1778110488249
read      961.6   409.8   127.6   699.3   737.2   853.6   901.6   929.3   956.7  1140.6  1563.0  1688.6  1849.8  7191.8  8722.9  68622.5   115000  1778110489753  1778110491956
read      940.7   400.2   127.6   695.5   722.2   831.4   868.2   905.0   933.4  1258.6  1536.5  1647.9  1778.0  7224.7  8772.4  70273.7   125000  1778110493460  1778110495659
run 3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      227.3    79.9   109.4   154.4   165.3   216.5   238.9   252.5   263.1   274.6   292.9   324.4   427.2  1055.1  2995.2   4948.0     5000  1778110513901  1778110516159
read      280.7    91.5    86.8   159.3   177.9   271.7   311.6   335.2   351.5   369.6   392.9   427.1   493.8   593.4  2199.6  15006.0    15000  1778110517663  1778110519900
read      302.1   114.3    86.8   151.7   170.5   295.5   350.1   376.2   393.7   413.1   435.6   469.7   540.2   671.3  4400.4  24957.0    25000  1778110521405  1778110523609
read      314.3   122.6    74.4   147.3   166.0   304.8   370.5   400.3   421.3   444.5   472.1   515.6   602.4   757.4  1792.7  35014.5    35000  1778110525114  1778110527315
read      312.2   127.4    80.4   142.9   161.3   294.7   368.7   403.9   428.1   455.1   487.4   534.9   626.1   759.5  1288.1  44775.9    45000  1778110528819  1778110531021
read      318.1   138.6    80.4   140.9   160.4   295.4   371.9   411.3   438.8   469.2   506.2   559.2   660.4   813.3  2035.1  55175.5    55000  1778110532524  1778110534725
