threads,cores,p95,qps,target,run
3,3,385.8,14914.5,15000,1
3,3,389.0,25029.5,25000,1
3,3,420.6,35054.0,35000,1
3,3,434.6,44815.0,45000,1
3,3,450.8,55335.6,55000,1
3,3,442.1,65192.0,65000,1
3,3,454.3,74773.0,75000,1
3,3,443.7,85048.0,85000,1
3,3,452.5,95608.5,95000,1
3,3,451.3,104731.5,105000,1
3,3,568.6,114854.4,115000,1
3,3,495.9,125111.4,125000,1
3,3,319.3,4998.0,5000,2
3,3,373.7,14904.5,15000,2
3,3,393.1,25056.0,25000,2
3,3,422.5,34821.0,35000,2
3,3,436.3,44854.0,45000,2
3,3,440.0,54879.0,55000,2
3,3,441.5,64895.0,65000,2
3,3,445.0,74699.5,75000,2
3,3,447.9,84737.0,85000,2
3,3,446.1,94526.4,95000,2
3,3,444.1,104793.8,105000,2
3,3,483.5,114346.5,115000,2
3,3,505.4,124971.1,125000,2
3,3,319.0,4941.0,5000,3
3,3,378.9,14945.0,15000,3
3,3,409.5,24973.1,25000,3
3,3,430.7,34819.0,35000,3
3,3,431.2,45029.5,45000,3
3,3,443.0,55000.4,55000,3
3,3,439.6,65080.0,65000,3
3,3,441.5,75016.0,75000,3
3,3,462.7,84899.5,85000,3
3,3,443.9,95219.4,95000,3
3,3,466.2,104648.8,105000,3
3,3,487.0,114796.4,115000,3
3,3,713.8,124064.9,125000,3
